Date,Region,Product,Marketing_Channel,Quarter,Spend,Impressions,Clicks,Conversions,Revenue,CTR,CPC,ROI
2023-06-04 00:00:00,North,Product D,Social Media,Q4,2519.04,7619,420,23,9579.45,0.0551,6,2.8028
2023-06-11 00:00:00,North,Product C,Search Engine,Q4,3079.59,9537,161,29,18035.98,0.0169,19.13,4.8566
2023-06-18 00:00:00,South,Product A,Search Engine,Q1,2529.77,5797,633,11,8063.26,0.1092,4,2.1873
2023-06-25 00:00:00,North,Product C,Email,Q2,3806.24,4862,777,6,16594.68,0.1598,4.9,3.3599
2023-07-02 00:00:00,South,Product D,Social Media,Q2,4578.68,9761,960,43,7580.12,0.0984,4.77,0.6555
2023-07-09 00:00:00,West,Product D,Email,Q3,969.39,8563,879,2,10178.95,0.1027,1.1,9.5004
2023-07-16 00:00:00,South,Product A,Email,Q1,524.51,8309,818,27,11469.56,0.0984,0.64,20.8672
2023-07-23 00:00:00,East,Product C,Search Engine,Q2,882.8,6439,262,36,9695.88,0.0407,3.37,9.9831
2023-07-30 00:00:00,West,Product A,Direct Mail,Q3,4887.33,5230,241,27,5105.7,0.0461,20.28,0.0447
2023-08-06 00:00:00,South,Product D,Search Engine,Q4,1475,6477,361,28,5619.49,0.0557,4.09,2.8098
2023-08-13 00:00:00,West,Product C,Search Engine,Q2,2653.89,8129,677,20,13651.72,0.0833,3.92,4.144
2023-08-20 00:00:00,East,Product A,Social Media,Q3,3283.84,5414,643,4,19911.6,0.1188,5.11,5.0635
2023-08-27 00:00:00,West,Product B,Email,Q3,630.86,9141,207,32,15580.93,0.0226,3.05,23.6979
2023-09-03 00:00:00,East,Product A,Email,Q2,4683.9,4693,553,14,15632.65,0.1178,8.47,2.3375
2023-09-10 00:00:00,North,Product C,Email,Q2,4049.72,9585,860,20,3451.58,0.0897,4.71,-0.1477
2023-09-17 00:00:00,North,Product D,Direct Mail,Q2,2760.36,5113,449,2,6173,0.0878,6.15,1.2363
2023-09-24 00:00:00,South,Product A,Direct Mail,Q4,1712.71,2964,951,9,7700.25,0.3209,1.8,3.4959
2023-10-01 00:00:00,West,Product D,Social Media,Q3,1503.7,3793,595,19,13329.54,0.1569,2.53,7.8645
2023-10-08 00:00:00,North,Product C,Email,Q1,4259.99,3130,719,12,11611.84,0.2297,5.92,1.7258
2023-10-15 00:00:00,West,Product D,Direct Mail,Q1,4860.17,9056,222,37,12814.42,0.0245,21.89,1.6366
2023-10-22 00:00:00,West,Product B,Search Engine,Q4,2365.17,8728,895,44,12869.36,0.1025,2.64,4.4412
2023-10-29 00:00:00,East,Product D,Direct Mail,Q1,1957.63,6396,191,17,4503.55,0.0299,10.25,1.3005
2023-11-05 00:00:00,West,Product C,Social Media,Q3,4693.69,1612,254,28,12889.41,0.1576,18.48,1.7461
2023-11-12 00:00:00,West,Product A,Email,Q4,3325.1,7223,985,22,3463.67,0.1364,3.38,0.0417
2023-11-19 00:00:00,East,Product C,Social Media,Q3,688.4,4477,205,38,17378.22,0.0458,3.36,24.2444
2023-11-26 00:00:00,West,Product A,Email,Q4,2088.39,2859,933,44,4436.96,0.3263,2.24,1.1246
2023-12-03 00:00:00,North,Product B,Email,Q1,4341.92,7948,208,49,5957.79,0.0262,20.87,0.3722
2023-12-10 00:00:00,South,Product A,Social Media,Q1,3211.52,7790,886,41,7313.16,0.1137,3.62,1.2772
2023-12-17 00:00:00,East,Product A,Search Engine,Q1,2828.02,5429,502,17,5384.96,0.0925,5.63,0.9041
2023-12-24 00:00:00,North,Product D,Direct Mail,Q3,1730.76,8184,821,33,7941.68,0.1003,2.11,3.5886
2023-12-31 00:00:00,West,Product C,Direct Mail,Q2,4735.94,5473,761,45,2492.35,0.139,6.22,-0.4737
2024-01-07 00:00:00,West,Product A,Direct Mail,Q3,1451.91,3573,592,28,18330.96,0.1657,2.45,11.6254
2024-01-14 00:00:00,East,Product B,Email,Q3,1339.96,2205,849,16,8983.12,0.385,1.58,5.704
2024-01-21 00:00:00,South,Product B,Direct Mail,Q3,2387.81,4006,928,9,2618.35,0.2317,2.57,0.0965
2024-01-28 00:00:00,South,Product D,Search Engine,Q4,2547.39,2428,514,31,2195.26,0.2117,4.96,-0.1382
2024-02-04 00:00:00,East,Product B,Email,Q1,3258.37,6139,843,34,16217.39,0.1373,3.87,3.9771
2024-02-11 00:00:00,North,Product C,Direct Mail,Q2,3091.34,4665,150,37,18223.16,0.0322,20.61,4.8949
2024-02-18 00:00:00,North,Product B,Social Media,Q4,1761.01,5688,315,21,15528.62,0.0554,5.59,7.818
2024-02-25 00:00:00,South,Product B,Social Media,Q4,2712.51,9938,859,2,4735.08,0.0864,3.16,0.7456
2024-03-03 00:00:00,West,Product C,Social Media,Q1,1054.71,7302,670,28,15020.08,0.0918,1.57,13.241
2024-03-10 00:00:00,South,Product C,Social Media,Q3,4080.86,3958,336,20,16097.73,0.0849,12.15,2.9447
2024-03-17 00:00:00,East,Product C,Direct Mail,Q3,560.38,9916,916,50,9119.65,0.0924,0.61,15.274
2024-03-24 00:00:00,East,Product B,Email,Q2,4938.96,7697,224,4,8729.93,0.0291,22.05,0.7676
2024-03-31 00:00:00,West,Product C,Social Media,Q1,2740.13,1400,384,19,15481.38,0.2743,7.14,4.6499
2024-04-07 00:00:00,South,Product B,Email,Q1,2876.66,1162,939,16,8230.09,0.8081,3.06,1.861
2024-04-14 00:00:00,South,Product A,Search Engine,Q1,4378.21,1137,941,35,5826.28,0.8276,4.65,0.3307
2024-04-21 00:00:00,West,Product D,Social Media,Q1,4941.79,7902,141,38,13406.82,0.0178,35.05,1.7129
2024-04-28 00:00:00,East,Product B,Email,Q1,1376.02,4872,922,40,6238.04,0.1892,1.49,3.5334
2024-05-05 00:00:00,North,Product B,Direct Mail,Q3,3324.53,7993,377,42,8491.86,0.0472,8.82,1.5543
2024-05-12 00:00:00,North,Product D,Search Engine,Q1,2318.27,3481,688,26,2667.33,0.1976,3.37,0.1506
2024-05-19 00:00:00,East,Product C,Social Media,Q4,2417.89,8982,282,29,10829.6,0.0314,8.57,3.4789
2024-05-26 00:00:00,North,Product A,Email,Q3,610.83,5841,357,45,1134.52,0.0611,1.71,0.8573
2024-06-02 00:00:00,East,Product C,Email,Q2,1203.33,5425,764,36,2873.42,0.1408,1.58,1.3879
2024-06-09 00:00:00,East,Product A,Email,Q1,1532.29,8742,635,20,5409.03,0.0726,2.41,2.53
2024-06-16 00:00:00,East,Product D,Email,Q1,3114.54,7818,441,39,7945.99,0.0564,7.06,1.5513
2024-06-23 00:00:00,North,Product A,Search Engine,Q1,1321.6,1888,203,41,5218.27,0.1075,6.51,2.9484
2024-06-30 00:00:00,North,Product B,Direct Mail,Q4,2383.64,3052,287,36,3515.7,0.094,8.31,0.4749
2024-07-07 00:00:00,East,Product B,Email,Q4,4165.55,5640,532,22,8609.61,0.0943,7.83,1.0669
2024-07-14 00:00:00,North,Product A,Search Engine,Q4,3637.12,7365,709,12,9941.12,0.0963,5.13,1.7332
2024-07-21 00:00:00,West,Product B,Social Media,Q4,4462.95,6323,504,25,15075.84,0.0797,8.86,2.378
2024-07-28 00:00:00,North,Product C,Search Engine,Q2,2009.35,1147,543,16,16548.38,0.4734,3.7,7.2357
2024-08-04 00:00:00,North,Product B,Direct Mail,Q1,3950.09,8663,227,43,9338.99,0.0262,17.4,1.3642
2024-08-11 00:00:00,South,Product B,Search Engine,Q1,1287.89,1530,781,19,18695.55,0.5105,1.65,13.5164
2024-08-18 00:00:00,East,Product B,Social Media,Q1,3378.78,5196,723,42,1023.81,0.1391,4.67,-0.697
2024-08-25 00:00:00,North,Product C,Email,Q4,3632.86,8716,259,44,15651.6,0.0297,14.03,3.3083
2024-09-01 00:00:00,South,Product C,Direct Mail,Q1,1154.84,4205,538,3,4112.01,0.1279,2.15,2.5607
2024-09-08 00:00:00,South,Product D,Social Media,Q4,1862.04,3569,774,11,8787.16,0.2169,2.41,3.7191
2024-09-15 00:00:00,West,Product C,Email,Q3,1555.73,9432,623,29,18952.14,0.0661,2.5,11.1822
2024-09-22 00:00:00,East,Product C,Social Media,Q2,3973.06,4187,619,5,13059.27,0.1478,6.42,2.287
2024-09-29 00:00:00,West,Product C,Direct Mail,Q2,3970.41,1114,869,46,6219.6,0.7801,4.57,0.5665
2024-10-06 00:00:00,South,Product B,Direct Mail,Q2,2946.93,9307,583,39,5436.82,0.0626,5.05,0.8449
2024-10-13 00:00:00,West,Product B,Direct Mail,Q4,2916.69,2060,172,17,11932.58,0.0835,16.96,3.0911
2024-10-20 00:00:00,East,Product B,Email,Q1,3636.93,6856,352,26,18906.16,0.0513,10.33,4.1984
2024-10-27 00:00:00,West,Product A,Search Engine,Q3,3540.6,8400,979,28,17279.68,0.1165,3.62,3.8804
2024-11-03 00:00:00,East,Product D,Social Media,Q1,950.21,9942,530,31,12641.66,0.0533,1.79,12.3041
2024-11-10 00:00:00,North,Product D,Social Media,Q4,2056.67,5688,583,49,14541.76,0.1025,3.53,6.0705
2024-11-17 00:00:00,West,Product A,Email,Q1,2756.2,5013,664,31,6824.82,0.1325,4.15,1.4762
2024-11-24 00:00:00,East,Product C,Email,Q2,1328.71,1941,177,1,9215.72,0.0912,7.51,5.9358
